x,timestamps
0,1762472464.0990689
1,1762472464.0990689
2,1762472464.0990689
3,1762472464.0990689
4,1762472464.0990689
5,1762472464.0990689
6,1762472464.0990689
7,1762472464.0990689
8,1762472464.0990689
9,1762472464.0990689
10,1762472464.0990689
11,1762472464.0990689
12,1762472464.0990689
13,1762472464.0990689
14,1762472464.0990689
15,1762472464.0990689
16,1762472464.0990689
17,1762472464.0990689
18,1762472464.0990689
19,1762472464.0990689
20,1762472464.0990689
21,1762472464.0990689
22,1762472464.0990689
23,1762472464.0990689
24,1762472464.0990689
25,1762472464.0990689
26,1762472464.0990689
27,1762472464.0990689
28,1762472464.0990689
29,1762472464.0990689
30,1762472464.0990689
31,1762472464.0990689
32,1762472464.0990689
33,1762472464.0990689
34,1762472464.0990689
35,1762472464.0990689
36,1762472464.0990689
37,1762472464.0990689
38,1762472464.0990689
39,1762472464.0990689
40,1762472464.0990689
41,1762472464.0990689
42,1762472464.0990689
43,1762472464.0990689
44,1762472464.0990689
45,1762472464.0990689
46,1762472464.0990689
47,1762472464.0990689
48,1762472464.0990689
49,1762472464.0990689
50,1762472464.0990689
51,1762472464.0990689
52,1762472464.0990689
53,1762472464.0990689
54,1762472464.0990689
55,1762472464.0990689
56,1762472464.0990689
57,1762472464.0990689
58,1762472464.0990689
59,1762472464.0990689
60,1762472464.0990689
61,1762472464.0990689
62,1762472464.0990689
63,1762472464.0990689
64,1762472464.0990689
65,1762472464.0990689
66,1762472464.0990689
67,1762472464.0990689
68,1762472464.0990689
69,1762472464.0990689
70,1762472464.0990689
71,1762472464.0990689
72,1762472464.0990689
73,1762472464.0990689
74,1762472464.0990689
75,1762472464.0990689
76,1762472464.0990689
77,1762472464.0990689
78,1762472464.0990689
79,1762472464.0990689
80,1762472464.0990689
81,1762472464.0990689
82,1762472464.0990689
83,1762472464.0990689
84,1762472464.0990689
85,1762472464.0990689
86,1762472464.0990689
87,1762472464.0990689
88,1762472464.0990689
89,1762472464.0990689
90,1762472464.0990689
91,1762472464.0990689
92,1762472464.0990689
93,1762472464.0990689
94,1762472464.0990689
95,1762472464.0990689
96,1762472464.0990689
97,1762472464.0990689
98,1762472464.0990689
99,1762472464.0990689
100,1762472464.0990689
101,1762472464.0990689
102,1762472464.0990689
103,1762472464.0990689
104,1762472464.0990689
105,1762472464.0990689
106,1762472464.0990689
107,1762472464.0990689
108,1762472464.0990689
109,1762472464.0990689
110,1762472464.0990689
111,1762472464.0990689
112,1762472464.0990689
113,1762472464.0990689
114,1762472464.0990689
115,1762472464.0990689
116,1762472464.0990689
117,1762472464.0990689
118,1762472464.0990689
119,1762472464.0990689
120,1762472464.0990689
121,1762472464.0990689
122,1762472464.0990689
123,1762472464.0990689
124,1762472464.0990689
125,1762472464.0990689
126,1762472464.0990689
127,1762472464.0990689
128,1762472464.0990689
129,1762472464.0990689
130,1762472464.0990689
131,1762472464.0990689
132,1762472464.0990689
133,1762472464.0990689
134,1762472464.0990689
135,1762472464.0990689
136,1762472464.0990689
137,1762472464.0990689
138,1762472464.0990689
139,1762472464.0990689
140,1762472464.0990689
141,1762472464.0990689
142,1762472464.0990689
143,1762472464.0990689
144,1762472464.0990689
145,1762472464.0990689
146,1762472464.0990689
147,1762472464.0990689
148,1762472464.0990689
149,1762472464.0990689
150,1762472464.0990689
151,1762472464.0990689
152,1762472464.0990689
153,1762472464.0990689
154,1762472464.0990689
155,1762472464.0990689
156,1762472464.0990689
157,1762472464.0990689
158,1762472464.0990689
159,1762472464.0990689
160,1762472464.0990689
161,1762472464.0990689
162,1762472464.0990689
163,1762472464.0990689
164,1762472464.0990689
165,1762472464.0990689
166,1762472464.0990689
167,1762472464.0990689
168,1762472464.0990689
169,1762472464.0990689
170,1762472464.0990689
171,1762472464.0990689
172,1762472464.0990689
173,1762472464.0990689
174,1762472464.0990689
175,1762472464.0990689
176,1762472464.0990689
177,1762472464.0990689
178,1762472464.0990689
179,1762472464.0990689
180,1762472464.0990689
181,1762472464.0990689
182,1762472464.0990689
183,1762472464.0990689
184,1762472464.0990689
185,1762472464.0990689
186,1762472464.0990689
187,1762472464.0990689
188,1762472464.0990689
189,1762472464.0990689
190,1762472464.0990689
191,1762472464.0990689
192,1762472464.0990689
193,1762472464.0990689
194,1762472464.0990689
195,1762472464.0990689
196,1762472464.0990689
197,1762472464.0990689
198,1762472464.0990689
199,1762472464.0990689
200,1762472464.0990689
201,1762472464.0990689
202,1762472464.0990689
203,1762472464.0990689
204,1762472464.0990689
205,1762472464.0990689
206,1762472464.0990689
207,1762472464.0990689
208,1762472464.0990689
209,1762472464.0990689
210,1762472464.0990689
211,1762472464.0990689
212,1762472464.0990689
213,1762472464.0990689
214,1762472464.0990689
215,1762472464.0990689
216,1762472464.0990689
217,1762472464.0990689
218,1762472464.0990689
219,1762472464.0990689
220,1762472464.0990689
221,1762472464.0990689
222,1762472464.0990689
223,1762472464.0990689
224,1762472464.0990689
225,1762472464.0990689
226,1762472464.0990689
227,1762472464.0990689
228,1762472464.0990689
229,1762472464.0990689
230,1762472464.0990689
231,1762472464.0990689
232,1762472464.0990689
233,1762472464.0990689
234,1762472464.0990689
235,1762472464.0990689
236,1762472464.0990689
237,1762472464.0990689
238,1762472464.0990689
239,1762472464.0990689
240,1762472464.0990689
241,1762472464.0990689
242,1762472464.0990689
243,1762472464.0990689
244,1762472464.0990689
245,1762472464.0990689
246,1762472464.0990689
247,1762472464.0990689
248,1762472464.0990689
249,1762472464.0990689
250,1762472464.0990689
251,1762472464.0990689
252,1762472464.0990689
253,1762472464.0990689
254,1762472464.0990689
255,1762472464.0990689
256,1762472464.0990689
257,1762472464.0990689
258,1762472464.1889238
